Card Name,Card Number,Rarity,Color,Type,Effect,Energy Cost,AP Cost,Power,Attributes,Generate Energy,Trigger,Image
VF-19EF/A Isamu Special,EX14BT/MCR-2-011,R,Blue,Character,"[Front Line] At the end of your Attack Phase, draw 1 card and place this Character at the bottom of your Deck. Choose up to 1 Character in your Energy Line whose card name does not contain ""Isamu"" and move it to Front Line.
[On Play] [Front Line] Set this Character to Active. <VF-19EF/A Isamu Special>'s this effect can only be activated once per turn.",3,1,4000,S.M.S/Fighter Mode,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-011.png?v8
Sheryl Nome,EX14BT/MCR-2-012,SR,Blue,Character,"[On Play] Look at the top 2 cards of your Deck, reveal up to 1 card whose card name contains ""Alto"" or <Sayonara no Tsubasa ~ the end of triangle> and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.
[Activate: Main] [Rest this card] Can only be activated if you have used <Sayonara no Tsubasa ~ the end of triangle> this turn. Look at the top 1 card of your Deck and place it on top or bottom of your Deck.",0,1,1500,-,B,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-012.png?v8
Ranka Lee,EX14BT/MCR-2-013,SR,Blue,Character,"[On Play] Look at the top 2 cards of your Deck, reveal up to 1 card whose card name contains ""Alto"" or <Sayonara no Tsubasa ~ the end of triangle> and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.
[Activate: Main] [Rest this card] Can only be activated if you have used <Sayonara no Tsubasa ~ the end of triangle> this turn. Look at the top 3 cards of your Deck and place them on top of your Deck in any order.",0,1,1500,-,B,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-013.png?v8
VF-27γSP Super Lucifer Valkyrie (Brera Sterne),EX14BT/MCR-2-014,U,Blue,Character,"[Activate: Main] [Front Line] [Rest this card] [Retire this card] Can only be activated if <Ranka Lee> is on your field. Choose up to 1 Character in the opponent's Front Line with BP 3000 or less and retire it. If you have used <Sayonara no Tsubasa ~ the end of triangle> this turn, draw 1 card.",4,1,4000,Battroid Mode,B,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-014.png?v8
Alto Saotome,EX14BT/MCR-2-015,C,Blue,Character,"[Your Turn] If <Sheryl Nome> and <Ranka Lee> are on your field, this Character gains BP +1000.
[On Play] Draw 1 card, then discard 1 card from your hand.",3,1,3000+,S.M.S/Skull Squadron,BB,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-015.png?v8
YF-29 Durandal Valkyrie (Alto Saotome),EX14BT/MCR-2-016,R,Blue,Character,"[Raid] Set <Alto Saotome> to Active; it can move to Front Line.
At the end of this Character's attack, if there is no Active Character in your Front Line, you may retire this Character.
[On Play] Add up to 1 <Sayonara no Tsubasa ~ the end of triangle> from your Discard to your hand.
[On Leave] If it is your turn, play up to 1 of this Character's Raid source cards to your field Active, and grant that Character ""This Character cannot be blocked by Characters with BP 3000 or less."" this turn.",5,1,4000,S.M.S/Skull Squadron/Fighter Mode,B,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-016.png?v8
VF-25G Tornado Messiah Valkyrie (Michael Blanc),EX14BT/MCR-2-017,C,Blue,Character,"[Front Line] When your Raided <Quadran Rare (Klan Klan)> is retired, play up to 1 of that Character's Raid source cards to your field Active.
[Activate: Main] [1/Turn] Can only be activated if this Character has [Impact]. This Character gains [Snipe] (can attack a designated Character in the opponent's Front Line, in which case it cannot be blocked) this turn.",4,1,4000,S.M.S/Skull Squadron/Battroid Mode,B,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-017.png?v8
Sayonara no Tsubasa ~ the end of triangle,EX14BT/MCR-2-018,U,Blue,Event,"<Sayonara no Tsubasa ~ the end of triangle> can only be used 1 per turn.
If <Sheryl Nome> and <Ranka Lee> are on your field, reduce the AP Cost of this card in your hand by 2.
All Characters in the opponent's Front Line with BP 1500 or more get BP -1000 this turn. Draw 1 card.",4,2,-,Song (Sheryl)/Song (Ranka),-,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-018.png?v8
Heinz Nerich Windermere,EX14BT/MCR-2-019,C,Purple,Character,[Activate: Main] [Rest this card] [Discard 1] Can only be activated if [Trait: Aerial Knights] is in your Front Line. All Characters in the opponent's Front Line get BP -1000 this turn. <Heinz Nerich Windermere>'s this effect can only be activated once per turn.,3,1,1000,Kingdom of Windermere,PP,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-019.png?v8
Hayate Immelmann,EX14BT/MCR-2-020,C,Purple,Character,-,0,1,1500,Chaos/Delta Squadron,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-020.png?v8
Hayate Immelmann,EX14BT/MCR-2-021,U,Purple,Character,"[On Play] Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Delta Squadron] or <Freyja Wion> and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,2000,Chaos/Delta Squadron,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-021.png?v8
Hayate Immelmann,EX14BT/MCR-2-022,R,Purple,Character,"[Front Line] During your Main Phase other than the turn this Character was played, when you draw a card by your own effect, set this Character to Active.
[Activate: Main] [Front Line] [Rest this card] This Character gains BP +1000 this turn.
[On Attack] If this Character's BP is 5000 or more, look at the top 2 cards of your Deck, place any number of them on top of your Deck in any order, and place the rest in Discard.",3,1,3000+,Chaos/Delta Squadron,PP,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-022.png?v8
Mirage Farina Jenius,EX14BT/MCR-2-023,C,Purple,Character,[On Play] Look at the top 1 card of your Deck and place it on top of your Deck or in Discard.,0,1,2000,Chaos/Delta Squadron,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-023.png?v8
Mirage Farina Jenius,EX14BT/MCR-2-024,U,Purple,Character,"If this Character is Active, this Character's Generate Energy +[Purple].",2,1,2500,Chaos/Delta Squadron,P+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-024.png?v8
Mirage Farina Jenius,EX14BT/MCR-2-025,R,Purple,Character,"[On Play] If there is a Raided [Trait: Delta Squadron] in your Front Line whose card name does not contain ""Mirage"", draw 1 card.",1,1,2000,Chaos/Delta Squadron,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-025.png?v8
Messer Ihlefeld,EX14BT/MCR-2-026,C,Purple,Character,-,0,1,2000,Chaos/Delta Squadron,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-026.png?v8
Messer Ihlefeld,EX14BT/MCR-2-027,U,Purple,Character,[Impact Null] (The Character that battled this Character loses Impact for this battle.),2,1,3000,Chaos/Delta Squadron,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-027.png?v8
Kaname Buccaneer,EX14BT/MCR-2-028,C,Purple,Character,"[Activate: Main] [Rest this card] [1/Turn] This Character gains Generate Energy +[Purple] and ""At the end of the Main Phase, retire this Character."" this turn.",0,1,1000,Chaos/Walkure,P+,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-028.png?v8
Kaname Buccaneer,EX14BT/MCR-2-029,U,Purple,Character,[On Play] Play up to 1 Purple [Trait: Walkure] with Energy Cost 2 or less and AP Cost 1 from your hand to your field Rested.,3,1,3000,Chaos/Walkure,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-029.png?v8
Kaname Buccaneer,EX14BT/MCR-2-030,R,Purple,Character,"[On Play] Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Walkure] and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,2000,Chaos/Walkure,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-030.png?v8
Kaname Buccaneer,EX14BT/MCR-2-031,SR,Purple,Character,"This Character enters play Active.
[On Play] You may discard 1 card from your hand. If you do, play up to 1 Purple [Trait: Walkure] with Energy Cost 2 or less from your Discard to your field Rested.",3,2,4000,Chaos/Walkure,P,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-031.png?v8
Freyja Wion,EX14BT/MCR-2-032,C,Purple,Character,"[On Play] Draw 1 card, then discard 1 card from your hand.",0,1,1500,Chaos/Walkure,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-032.png?v8
Freyja Wion,EX14BT/MCR-2-033,C,Purple,Character,[On Play] Draw 1 card.,2,1,2000,Chaos/Walkure,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-033.png?v8
Freyja Wion,EX14BT/MCR-2-034,U,Purple,Character,"[Your Turn] If there are 3 or more different card names of [Trait: Walkure] on your field, this Character gains BP +1000.",1,1,2000+,Chaos/Walkure,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-034.png?v8
Freyja Wion,EX14BT/MCR-2-035,R,Purple,Character,"[Activate: Main] [Rest this card] Can only be activated if a Character whose card name contains ""Hayate"" is in your Front Line. Choose one of the following. <Freyja Wion>'s this effect can only be activated once per turn.
• Draw 1 card, then discard 1 card from your hand.
• Add 1 of your Life cards to your hand. If you do, draw 2 cards, then discard 1 card from your hand.",3,1,2500,Chaos/Walkure,PP,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-035.png?v8
Freyja Wion,EX14BT/MCR-2-036,SR,Purple,Character,"When Raiding this card from your hand, if there are 5 or more different card names of [Trait: Walkure] on your field, reduce the AP Cost by 1. If you have Raided another <Freyja Wion> without paying AP this turn, this effect is negated.
[Raid] Set <Freyja Wion> to Active; it can move to Front Line.
[On Attack] If there are 3 or more different card names of [Trait: Walkure] on your field, all Characters on your field get BP +1000 this turn.",3,1,3500+,Chaos/Walkure,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-036.png?v8
Makina Nakajima,EX14BT/MCR-2-037,C,Purple,Character,[Impact Null] (The Character that battled this Character loses Impact for this battle.),0,1,2000,Chaos/Walkure,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-037.png?v8
Makina Nakajima,EX14BT/MCR-2-038,C,Purple,Character,"[On Play] Look at the top 5 cards of your Deck, reveal up to 1 [Trait: Delta Squadron] whose card name contains ""VF"" and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,2000,Chaos/Walkure,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-038.png?v8
Makina Nakajima,EX14BT/MCR-2-039,U,Purple,Character,"[Impact Null] (The Character that battled this Character loses Impact for this battle.)
[On Play] If there are 3 or more different card names of [Trait: Walkure] on your field, choose up to 1 other Character on your field; this turn, 'BP +1000'. If there are 5 or more, replace it with 'BP +2000'.",3,1,3000,Chaos/Walkure,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-039.png?v8
Makina Nakajima,EX14BT/MCR-2-040,SR,Purple,Character,"If there are 2 or more [Trait: Walkure] in your Front Line, this Character's Generate Energy +[Purple].
[On Play] If <Reina Prowler> is on your field, look at the top 2 cards of your Deck, place any number of them on top of your Deck in any order, and place the rest in Discard.",2,1,2500,Chaos/Walkure,P+,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-040.png?v8
Mikumo Guynemer,EX14BT/MCR-2-041,C,Purple,Character,"[On Play] Look at the top 2 cards of your Deck, place up to 1 [Trait: Walkure] in Discard, and place the rest on top of your Deck in any order.",0,1,1500,Chaos/Walkure,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-041.png?v8
Mikumo Guynemer,EX14BT/MCR-2-042,C,Purple,Character,"This Character cannot be chosen by the opponent's Character effects.
[Front Line] [1/Turn] If you would receive 2 or more damage at once, you may make it 1 damage instead.",3,1,3500,Chaos/Walkure,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-042.png?v8
Mikumo Guynemer,EX14BT/MCR-2-043,U,Purple,Character,"[On Play] If there are 3 or more different card names of [Trait: Walkure] on your field, place up to 1 [Trait: Song (Walkure)] with Energy Cost 2 or less from your Discard on top of your Deck.",2,1,3000,Chaos/Walkure,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-043.png?v8
Mikumo Guynemer,EX14BT/MCR-2-044,R,Purple,Character,"[Impact Null] (The Character that battled this Character loses Impact for this battle.)
If there are 3 or more different card names of [Trait: Walkure] on your field, this Character gains BP +1000.",1,1,2000+,Chaos/Walkure,P,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-044.png?v8
Mikumo Guynemer,EX14BT/MCR-2-045,SR,Purple,Character,"[Raid] Set <Mikumo Guynemer> to Active; it can move to Front Line.
[Your Turn] If there are 3 or more different card names of [Trait: Walkure] on your field, this Character gains [Impact (1)].
[On Attack] Choose up to 2 of the following:
• Place 1 [Trait: Song (Walkure)] from your Discard in the Remove Zone. If you do, draw 1 card.
• If there are 5 or more different card names of [Trait: Walkure] on your field, this Character gains BP +1000 until the start of your next turn.",4,1,4000+,Chaos/Walkure,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-045.png?v8
Reina Prowler,EX14BT/MCR-2-046,C,Purple,Character,-,0,1,2000,Chaos/Walkure,P,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-046.png?v8
Reina Prowler,EX14BT/MCR-2-047,C,Purple,Character,"[On Play] Return 1 other Character with Energy Cost 1 or less on your field to your hand. If unable to, return this Character to your hand.",1,1,1500,Chaos/Walkure,PP,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-047.png?v8
Reina Prowler,EX14BT/MCR-2-048,U,Purple,Character,"[On Play] Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Walkure] and place it on top of your Deck. Place the rest at the bottom of your Deck in any order.",3,1,3000,Chaos/Walkure,PP,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-048.png?v8
Reina Prowler,EX14BT/MCR-2-049,SR,Purple,Character,"[Activate: Main] [Rest this card] Choose one of the following:
• Choose 1 other Character on your field; this turn, BP +1000.
• If <Makina Nakajima> is on your field, choose 1 other Character on your field and grant it ""This Character cannot be blocked by Characters with BP 4000 or more."" this turn. <Reina Prowler>'s this effect can only be chosen once per turn.",2,1,2000,Chaos/Walkure,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-049.png?v8
Sv-262Ba Draken III (Boogie Konfaort),EX14BT/MCR-2-050,C,Purple,Character,"[On Play] You may discard 1 card from your hand. If you do, add up to 1 Character card without [Raid] from your Discard to your hand.",4,1,4000,Kingdom of Windermere/Aerial Knights/Ghost Mode,P,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-050.png?v8
Sv-262Hs Draken III (Keith Aero Windermere),EX14BT/MCR-2-051,U,Purple,Character,"This Character enters play Active.
[On Play] Choose up to 1 Character in the opponent's Front Line; this turn, BP -3000.",5,2,4000,Kingdom of Windermere/Aerial Knights/Battroid Mode,P,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-051.png?v8
VF-31F Siegfried (Messer Ihlefeld),EX14BT/MCR-2-052,R,Purple,Character,"[Raid] Set <Messer Ihlefeld> to Active; it can move to Front Line.
[On Play] Choose up to 1 Character in the opponent's Front Line; this turn, BP -2500.
[On Attack] If this Character's BP is 6000 or more, this Character gains [Damage (2)] and [Impact Null] until the start of your next turn.
[On Leave] Look at the top 7 cards of your Deck, reveal up to 1 [Trait: Delta Squadron] whose card name contains ""VF"" but not ""Messer"" and add it to your hand. Place the rest at the bottom of your Deck in any order.",5,1,4000,Chaos/Delta Squadron/Fighter Mode,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-052.png?v8
VF-31C Siegfried (Mirage Farina Jenius),EX14BT/MCR-2-053,SR,Purple,Character,"[Raid] Set <Mirage Farina Jenius> to Active; it can move to Front Line.
[Activate: Main] [Front Line] [1/Turn] Choose 1 Character on your field whose card name contains ""Hayate"". If you do, draw 1 card, and grant the chosen Character [Impact (1)] this turn.",4,1,4000,Chaos/Delta Squadron/Battroid Mode,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-053.png?v8
VF-31J Siegfried (Hayate Immelmann),EX14BT/MCR-2-054,SR,Purple,Character,"[Raid] Set <Hayate Immelmann> to Active; it can move to Front Line.
[Front Line] During your Main Phase, when you draw a card by your own effect, set this Character to Active.
[Activate: Main] [Front Line] [Rest this card] Choose one of the following. An effect of this Character already chosen this turn cannot be chosen.
• Play up to 1 Purple Character card with Energy Cost 1 or less from your hand to your field Rested.
• Choose 1 Character on your field; this turn, BP +2000.
• Choose 1 Character in the opponent's Front Line; this turn, BP -1500.",5,1,4000+,Chaos/Delta Squadron/Battroid Mode,P,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-054.png?v8
Ragna-Naked Goddess,EX14BT/MCR-2-055,U,Purple,Field,[Activate: Main] [Rest this card] [Retire this card] Draw 1 card. Play up to 1 Purple Character card with Energy Cost 3 or less and AP Cost 1 from your hand to your field Rested.,3,1,-,-,PP,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-055.png?v8
Get Ready,EX14BT/MCR-2-056,U,Purple,Event,Choose up to 2 of your AP cards and set them to Active.,3,1,-,-,-,[Final],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-056.png?v8
Protecting Is My Job,EX14BT/MCR-2-057,U,Purple,Event,"Choose 1 Character in the opponent's Front Line with 'BP 3000 or less' and retire it. If there is a Character whose card name contains ""Hayate"" on your field, replace it with 'BP 5000 or less'.",4,1,-,-,-,[Special],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-057.png?v8
AXIA ~Daisuki de Daikirai~,EX14BT/MCR-2-058,C,Purple,Event,"Choose 1 [Trait: Delta Squadron] or [Trait: Walkure] on your field; this turn, BP +2000. Set 1 of your AP cards to Active.",2,1,-,Song (Walkure),-,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-058.png?v8
Ikenai Borderline,EX14BT/MCR-2-059,C,Purple,Event,"Look at the top 3 cards of your Deck, reveal up to 1 [Trait: Walkure] and add it to your hand. Place the rest at the bottom of your Deck in any order. This turn, reduce the AP Cost of the next [Trait: Walkure] card used from your hand by 1.",2,1,-,Song (Walkure),-,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-059.png?v8
If It's Just a One-Time Love,EX14BT/MCR-2-060,U,Purple,Event,"Choose 1 Character in the opponent's Front Line with 'BP 3000 or less' and retire it. If there are 3 or more different card names of [Trait: Walkure] on your field, replace it with 'BP 5000 or less'.",3,1,-,Song (Walkure),-,[Special],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-060.png?v8
GIRAFFE BLUES,EX14BT/MCR-2-061,C,Purple,Event,"Draw 1 card. Then choose one of the following:
• Choose up to 1 Character in the opponent's Front Line and grant it ""This Character cannot attack."" until the start of your next turn.
• Choose up to 1 Raided Character in the opponent's Front Line and place 1 card from on top of the Raid stack in Discard.",2,1,-,Song (Walkure),-,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-061.png?v8
Aries Turner,EX14BT/MCR-2-062,C,Red,Character,"[Activate: Main] [Front Line] [1/Turn] Can only be activated if this Character is Active. Place 1 card from your hand at the bottom of your Deck. If you do, draw 1 card.",2,1,3000,-,R,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-062.png?v8
Shin Kudo,EX14BT/MCR-2-063,C,Red,Character,[On Play] Look at the top 1 card of your Deck and place it on top or bottom of your Deck.,0,1,2000,-,R,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-063.png?v8
Shin Kudo,EX14BT/MCR-2-064,U,Red,Character,"[On Play] Look at the top 4 cards of your Deck, reveal up to 1 Character card with no Trait with original BP 3500 or less and add it to your hand. Place the rest at the bottom of your Deck in any order. If a card was added to your hand, discard 1 card from your hand.",1,1,1500,-,R,[Color],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-064.png?v8
Sara Nome,EX14BT/MCR-2-065,U,Red,Character,"[On Play] Choose one of the following:
• Choose up to 1 other Character on your field; this turn, BP +1000.
• If this Character was played by your own effect, choose up to 1 other Character on your field with original BP 3500 or less and set it to Active.",3,1,2000,-,RR,[Draw],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-065.png?v8
Mao Nome,EX14BT/MCR-2-066,C,Red,Character,"[Activate: Main] [Rest this card] Choose up to 1 other Character on your field with original BP 3500 or less and grant it [Impact (1)] or ""This Character cannot be blocked by Characters with BP 4000 or more."" this turn. Place this card at the bottom of your Deck.",0,1,1500,-,R,[Active],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-066.png?v8
Roy Focker,EX14BT/MCR-2-067,U,Red,Character,"If there are no cards on your field, reduce the Energy Cost of this card in your hand by [Red ×2].
[Activate: Main] [1/Turn] Can only be activated if this Character's BP is higher than its original BP. This Character gains BP +500 this turn.",2,1,2500+,-,R,-,https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-067.png?v8
VF-0S Phoenix (Roy Focker),EX14BT/MCR-2-068,R,Red,Character,"[On Play] Play up to 1 Red Character card with BP 3500 or less and AP Cost 1 from your hand to your field Rested, or Raid it.
[Activate: Main] [Front Line] [1/Turn] Can only be activated if this Character's BP is 5000 or more. Set this Character to Active. Choose one of the following:
• Draw 1 card.
• Choose 1 other Character on your field; this turn, BP +1000.",4,2,4000,-,R,[Get],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-068.png?v8
VF-0D Phoenix (Shin Kudo),EX14BT/MCR-2-069,R,Red,Character,"[Raid] Set <Shin Kudo> to Active; it can move to Front Line.
[Impact Null] (The Character that battled this Character loses Impact for this battle.)
[On Play] This Character gains BP +1000 this turn.
[On Attack] [1/Turn] Place 1 card from the bottom of your Deck in Discard. If the card placed in Discard is Red <Sara Nome> or <Mao Nome>, you may play that card to your field Rested. If the card placed in Discard has no Trait, you may add it to your hand.",3,1,3500+,-,R,[Raid],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-069.png?v8
ARKAN,EX14BT/MCR-2-070,U,Red,Event,Choose up to 2 of your AP cards and set them to Active.,3,1,-,-,-,[Final],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-070.png?v8
Toritachi (Bird Person),EX14BT/MCR-2-071,U,Red,Event,"This card can only be used if there are 2 or more Characters with BP 4000 or more on your field.
Choose up to 1 Character in the opponent's Front Line with BP 5000 or less and retire it. You may place <Sara Nome> from your field at the bottom of your Deck. If you do, draw 1 card.",4,1,-,-,-,[Special],https://www.unionarena-tcg.com/jp/images/cardlist/card/EX14BT_MCR-2-071.png?v8
